W44X335,5.5,38,3
W44X290,5.5,38,2.8125
W44X262,5.5,38,2.625
W44X230,5.5,38,2.4375
W40X655,7.5,34,4.8125
W40X593,7.5,34,4.5
W40X503,7.5,34,4
W40X431,7.5,34,3.625
W40X397,7.5,34,3.5
W40X372,7.5,34,3.3125
W40X362,7.5,34,3.25
W40X324,7.5,34,3.0625
W40X297,7.5,34,2.9375
W40X277,7.5,34,2.875
W40X249,7.5,34,2.6875
W40X215,7.5,34,2.5
W40X199,7.5,34,2.3125
W40X392,7.5,34,3.8125
W40X331,7.5,34,3.375
W40X327,7.5,34,3.375
W40X294,7.5,34,3.1875
W40X278,7.5,34,3.0625
W40X264,7.5,34,3
W40X235,7.5,34,2.875
W40X211,7.5,34,2.6875
W40X183,7.5,34,2.5
W40X167,7.5,34,2.3125
W40X149,7.5,34,2.125
W36X925,7.5,32.375,5.375
W36X853,7.5,32.375,5.375
W36X802,7.5,32.375,5.125
W36X723,7.5,32.375,4.6875
W36X652,7.5,31.375,4.8125
W36X529,7.5,31.375,4.1875
W36X487,7.5,31.375,4
W36X441,7.5,31.375,3.75
W36X395,7.5,31.375,3.4375
W36X361,7.5,31.375,3.3125
W36X330,7.5,31.375,3.125
W36X302,7.5,31.375,3
W36X282,7.5,31.375,2.875
W36X262,7.5,31.375,2.75
W36X247,7.5,31.375,2.625
W36X231,7.5,31.375,2.5625
W36X256,5.5,31.5,2.9375
W36X232,5.5,31.5,2.8125
W36X210,5.5,31.5,2.625
W36X194,5.5,31.5,2.5
W36X182,5.5,31.5,2.375
W36X170,5.5,31.5,2.375
W36X160,5.5,31.5,2.25
W36X150,5.5,31.5,2.1875
W36X135,5.5,31.5,2.0625
W33X387,5.5,28.875,3.5625
W33X354,5.5,28.875,3.375
W33X318,5.5,28.875,3.1875
W33X291,5.5,28.875,2.9375
W33X263,5.5,28.875,2.8125
W33X241,5.5,28.875,2.6875
W33X221,5.5,28.875,2.5
W33X201,5.5,28.875,2.4375
