W,W44X335,335,98.5,44,0,0,15.9,0,0,1.03,1.77,0,0,0,2.56,1.3125,0,0,0,0,0,31100,1620,1410,17.8,1200,236,150,3.49,0,0,74.7,535000,0,168,1180,278,805,0,0,0,0
W,W44X290,290,85.4,43.6,0,0,15.8,0,0,0.865,1.58,0,0,0,2.36,1.25,0,0,0,0,0,27000,1410,1240,17.8,1040,205,132,3.49,0,0,50.9,461000,0,166,1040,248,701,0,0,0,0
W,W44X262,262,76.9,43.3,0,0,15.8,0,0,0.785,1.42,0,0,0,2.2,1.1875,0,0,0,0,0,24100,1270,1110,17.7,923,182,117,3.47,0,0,37.3,405000,0,165,928,223,630,0,0,0,0
W,W44X230,230,67.7,42.9,0,0,15.8,0,0,0.71,1.22,0,0,0,2.01,1.1875,0,0,0,0,0,20800,1100,971,17.5,796,157,101,3.43,0,0,24.9,346000,0,165,793,192,547,0,0,0,0
W,W40X593,593,174,43,0,0,16.7,0,0,1.79,3.23,0,0,0,4.41,2.125,0,0,0,0,0,50400,2760,2340,17,2520,481,302,3.8,0,0,445,997000,0,166,2240,479,1370,0,0,0,0
W,W40X503,503,148,42.1,0,0,16.4,0,0,1.54,2.76,0,0,0,3.94,2,0,0,0,0,0,41600,2320,1980,16.8,2040,394,249,3.72,0,0,277,789000,0,161,1830,403,1150,0,0,0,0
W,W40X431,431,127,41.3,0,0,16.2,0,0,1.34,2.36,0,0,0,3.54,1.875,0,0,0,0,0,34800,1960,1690,16.6,1690,328,208,3.65,0,0,177,638000,0,158,1510,341,969,0,0,0,0
W,W40X397,397,117,41,0,0,16.1,0,0,1.22,2.2,0,0,0,3.38,1.8125,0,0,0,0,0,32000,1800,1560,16.6,1540,300,191,3.64,0,0,142,579000,0,156,1380,318,891,0,0,0,0
W,W40X372,372,109,40.6,0,0,16.1,0,0,1.16,2.05,0,0,0,3.23,1.8125,0,0,0,0,0,29600,1680,1460,16.5,1420,277,177,3.6,0,0,116,528000,0,155,1280,295,829,0,0,0,0
W,W40X362,362,107,40.6,0,0,16,0,0,1.12,2.01,0,0,0,3.19,1.75,0,0,0,0,0,28900,1640,1420,16.5,1380,270,173,3.6,0,0,109,513000,0,154,1240,289,808,0,0,0,0
W,W40X324,324,95.3,40.2,0,0,15.9,0,0,1,1.81,0,0,0,2.99,1.6875,0,0,0,0,0,25600,1460,1280,16.4,1220,239,153,3.58,0,0,79.4,448000,0,153,1100,259,720,0,0,0,0
W,W40X297,297,87.4,39.8,0,0,15.8,0,0,0.93,1.65,0,0,0,2.83,1.6875,0,0,0,0,0,23200,1330,1170,16.3,1090,215,138,3.54,0,0,61.2,399000,0,151,982,234,652,0,0,0,0
W,W40X277,277,81.4,39.7,0,0,15.8,0,0,0.83,1.58,0,0,0,2.76,1.625,0,0,0,0,0,21900,1250,1100,16.4,1040,204,132,3.58,0,0,51.5,379000,0,151,940,225,614,0,0,0,0
